ZCTA,Median_Household_Income
13334,63750.0
13335,70208.0
13337,113527.0
13338,97813.0
13339,68333.0
13340,97404.0
13342,81818.0
13343,71957.0
13345,78750.0
13346,101167.0
13348,79409.0
13350,93827.0
13352,
13353,105536.0
13354,91570.0
13355,
13357,76781.0
13360,118750.0
13361,106406.0
13363,96568.0
13364,78059.0
13365,86321.0
13367,81339.0
13368,66000.0
13402,73750.0
13403,108514.0
13404,78750.0
13406,88611.0
13407,88445.0
13408,95938.0
13409,76563.0
13410,77250.0
13411,72159.0
13413,121513.0
13415,132917.0
13416,89375.0
13417,76696.0
13418,153239.0
13420,109054.0
13421,95000.0
13424,129659.0
13425,95921.0
13428,96971.0
13431,95694.0
13433,55278.0
13435,64886.0
13436,99063.0
13437,55833.0
13438,85288.0
13439,75133.0
13440,88070.0
13441,
13450,75893.0
13452,81161.0
13454,120352.0
13455,
13456,107069.0
13457,72917.0
13459,66776.0
13460,70139.0
13461,105964.0
13464,56627.0
13468,62500.0
13469,152386.0
13470,70313.0
13471,72500.0
13472,88092.0
13473,71500.0
13475,80208.0
13476,105110.0
13477,84583.0
13478,96163.0
13480,93470.0
13482,56818.0
13483,113205.0
13484,
13485,70000.0
13486,103173.0
13488,66667.0
13489,89375.0
13490,98345.0
13491,88958.0
13492,102889.0
13493,82563.0
13494,98438.0
13495,64766.0
13501,60182.0
13502,72083.0
13601,76190.0
13602,
13603,73091.0
13605,94357.0
13606,100781.0
13607,100769.0
13608,89000.0
13611,47353.0
13612,83750.0
13613,73750.0
13614,
13615,104063.0
13616,59444.0
13617,96171.0
13618,99489.0
13619,78953.0
13620,74688.0
13621,66122.0
13622,90625.0
13623,
13624,99861.0
13625,85455.0
13626,79063.0
13628,68750.0
13630,66500.0
13632,
13633,63333.0
13634,111607.0
13635,74792.0
13636,68750.0
13637,63948.0
13638,
13639,
13640,95250.0
13641,75875.0
13642,60875.0
13643,
13645,
13646,78227.0
13647,
13648,69265.0
13649,
13650,99583.0
13651,118125.0
13652,67065.0
13654,80250.0
13655,69896.0
13656,67727.0
13658,96510.0
13659,65625.0
13660,91630.0
13661,96063.0
13662,81140.0
13664,74167.0
13665,93214.0
13666,
13667,70781.0
13668,92667.0
13669,86455.0
13670,54167.0
13672,84286.0
13673,80799.0
13674,
13675,
13676,97222.0
13678,
13679,103098.0
13680,88860.0
13681,52917.0
13682,95795.0
13683,
13684,61324.0
13685,105319.0
13687,43036.0
13690,80000.0
13691,86673.0
13692,225357.0
13693,51625.0
13694,88750.0
13695,122083.0
13696,
13697,95764.0
13699,
13730,77629.0
13731,111917.0
13732,115195.0
13733,79531.0
13734,80588.0
13736,70250.0
13738,
13739,81250.0
13740,96786.0
13743,83587.0
13744,88400.0
13746,75156.0
13747,
13748,78384.0
13750,64231.0
13751,154375.0
13752,140069.0
13753,81094.0
13754,75474.0
13755,49489.0
13756,77083.0
13757,85197.0
13760,86833.0
13774,68361.0
13775,109318.0
13776,81250.0
13777,71500.0
13778,90925.0
13780,77083.0
13782,74583.0
13783,82045.0
13784,73597.0
13786,51250.0
13787,84018.0
13788,101094.0
13790,76025.0
13795,76089.0
13796,111458.0
13797,72885.0
13801,94583.0
13802,70455.0
13803,72317.0
13804,42303.0
13806,119219.0
13807,100843.0
13808,98393.0
13809,72279.0
13810,103224.0
13811,96742.0
13812,85057.0
13813,88750.0
13814,
